tcpdump -i eth0 src 165.227.42.177

19:16:52.099331 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 53000:53492, ack 37, win 501, length 492
19:16:52.099394 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 53492:53832, ack 37, win 501, length 340
19:16:52.099452 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 53832:54324, ack 37, win 501, length 492
19:16:52.099506 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 54324:54816, ack 37, win 501, length 492
19:16:52.099560 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 54816:55308, ack 37, win 501, length 492
19:16:52.099641 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 55308:55496, ack 37, win 501, length 188
19:16:52.099686 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 55496:55836, ack 37, win 501, length 340
19:16:52.099752 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 55836:56176, ack 37, win 501, length 340
19:16:52.202679 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 56176:56364, ack 37, win 501, length 188
19:16:52.202775 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 56364:56704, ack 37, win 501, length 340
19:16:52.202823 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 56704:56892, ack 37, win 501, length 188
19:16:52.202883 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 56892:57384, ack 37, win 501, length 492
19:16:52.202925 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 57384:57724, ack 37, win 501, length 340
